name,pages,extinct,gif,special,obtain
** Zibong's Staff **,weapons/extinct|weapons/spears,1,photo/weapons60/staffoftheelements.gif,Extinct,God War
Acorn,items/drops|items/spells,0,photo/items60/acorn.gif,,Squirrel and Green squirrels
Aether robes of Yin,armor/extinct,1,photo/armor60/starrobes.gif,Extinct,God War (Kismet) Special Info: Extinct
Aether robes of Yin (War Mode),armor/extinct|armor/extinct,1,photo/armor60/starrobes.gif,Extinct,God War (Kismet) Special Info: Extinct
Aged wine,items/crafts|items/mana|items/shop|items/spells,0,photo/items60/agedwine.gif,,Potion Shops
Aiy-Ary charm,armor/handitems,0,photo/armor60/aiyarycharm.gif,Break on Death,Woodlands Snake Boss Special Info: Break on Death
Aiy-Ary spetum,weapons/spears,0,photo/weapons60/aiyaryspetum.gif,BOD cannot be repaired,Aiy-Ary
Alizarin helm,armor/headitems,0,photo/armor60/alizarinhelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Alizarin helmet,armor/headitems,0,photo/armor60/alizarinhelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Amber,items/crafts|items/crafts|items/drops|items/rocks|items/rocks|items/spells,0,photo/items60/amber.gif,,Dropped by many creatures
Amber buckler,armor/shields,0,photo/armor60/amberbuckler.gif,Bonded,Nagnag Shield Quest Special Info: Bonded
Amber casque,armor/headitems,0,photo/armor60/ambercasque.gif,None,Obtained from jewellers Special Info: None
Amber circlet,armor/headitems,0,photo/armor60/ambercirclet.gif,None,Obtained from jewellers Special Info: None
Ambrosia,armor/handitems,0,photo/armor60/ambrosia.gif,Break on Death / Unrepairable,Rat Item Boss Special Info: Break on Death / Unrepairable
Amethyst,items/drops|items/rocks,0,photo/items60/amethyst.gif,,White wolf
Amethyst ring,armor/handitems,0,photo/armor60/amethystring.gif,,Tangun Jewelry Quest Special Info:
Ancient armor,armor/roguearmor,0,photo/armor60/ancientarmor.gif,None,Smith Special Info: None
Ancient armor dress,armor/roguearmor,0,photo/armor60/ancientarmordress.gif,None,Tailor+Smith Special Info: None
Ancient blouse,armor/roguearmor,0,photo/armor60/ancientblouse.gif,None,Seamstress Special Info: None
Ancient bone charm,armor/vortexhand|armor/vortexitems,0,photo/armor60/bonecharm.gif,Hunter Cave,Ravage Special Info: Hunter Cave
Ancient claw,armor/vortexhand|armor/vortexitems,0,photo/armor60/claw.gif,Water Cave,Crab duke Special Info: Water Cave
Ancient clothes,armor/magearmor,0,photo/armor60/ancientclothes.gif,None,Seams Special Info: None
Ancient coin,items/events,0,photo/items60/ancientcoin.gif,,Lost Mines
Ancient daemon heart,armor/vortexhand|armor/vortexitems,0,photo/armor60/daemonheart.gif,Wind Cave,Zibong's mask Special Info: Wind Cave
Ancient drapery,armor/poetarmor,0,photo/armor60/ancientdrapery.gif,Can be sold at Sya's shop in KaMing's encampment.,Tailoring Special Info: Can be sold at Sya's shop in KaMing's encampment.
Ancient dress,armor/magearmor,0,photo/armor60/ancientdress.gif,None,Seamstress Special Info: None
Ancient gown,armor/poetarmor,0,photo/armor60/ancientgown.gif,None,Seamstress Special Info: None
Ancient hand drum,armor/vortexhand|armor/vortexitems,0,photo/armor60/handdrum.gif,Hillman Cave,Kamalattee Special Info: Hillman Cave
Ancient helm,armor/headitems,0,photo/armor60/ancienthelm.gif,None,Smith Special Info: None
Ancient helmet,armor/headitems,0,photo/armor60/ancienthelm.gif,None,Smith Special Info: None
Ancient luck amulet,armor/vortexhand|armor/vortexitems,0,photo/armor60/luckamulet.gif,Assassin Cave,Ghaleb Special Info: Assassin Cave
Ancient lurid eye,armor/vortexhand|armor/vortexitems,0,photo/armor60/lurideye.gif,Dread Cave,Water wizard Special Info: Dread Cave
Ancient magus scroll,armor/vortexhand|armor/vortexitems,0,photo/armor60/magusscroll.gif,Magus Cave,Enchanted sorcerer Special Info: Magus Cave
Ancient mail dress,armor/warriorarmor,0,photo/armor60/ancientmaildress.gif,None,Smith Special Info: None
Ancient mantle,armor/poetarmor,0,photo/armor60/autumnmantle.gif,Can be sold at Sya's shop in KaMing's encampment.,Tailoring Special Info: Can be sold at Sya's shop in KaMing's encampment.
Ancient mystic herb,armor/vortexhand|armor/vortexitems,0,photo/armor60/mysticherb.gif,Earth Cave,Water elemental Special Info: Earth Cave
Ancient occult sphere,armor/vortexhand|armor/vortexitems,0,photo/armor60/occultsphere.gif,Shadow Cave,Fatal ninja Special Info: Shadow Cave
Ancient robes,armor/poetarmor,0,photo/armor60/ancientrobes.gif,None,Seams Special Info: None
Ancient royal seal,armor/vortexhand|armor/vortexitems,0,photo/armor60/royalseal.gif,Bandit Cave,Mad king Special Info: Bandit Cave
Ancient scale mail,armor/warriorarmor,0,photo/armor60/ancientscalemail.gif,None,Smith Special Info: None
Ancient spirit mask,armor/vortexhand|armor/vortexitems,0,photo/armor60/spiritmask.gif,Anchorite Cave,Jaded Enchantress Special Info: Anchorite Cave
Ancient steel bracelet,armor/vortexhand|armor/vortexitems,0,photo/armor60/steelbracelet.gif,Gray hand Cave,Bal bloodlust Special Info: Gray hand Cave
Ancient tiger mail,armor/warriorarmor,0,photo/armor60/ancienttigermail.gif,None,Chongun Quest Special Info: None
Ancient tigress,armor/warriorarmor,0,photo/armor60/ancienttigress.gif,None,Chongun Quest Special Info: None
Ancient waistcoat,armor/roguearmor,0,photo/armor60/ancientwaistcoat.gif,None,Seams Special Info: None
Ancient war dress,armor/warriorarmor,0,photo/armor60/ancientwardress.gif,None,Smith Special Info: None
Ancient war platemail,armor/warriorarmor,0,photo/armor60/ancientwarplatemail.gif,None,Smith Special Info: None
Anemone fan,weapons/fans,0,,None,"Sept. 11, 2002 Event"
Angel,armor/extinct|armor/headitems,1,photo/armor60/angel.gif,Extinct,Extinct Special Info: Extinct
Angelita fan,weapons/fans,0,,None,"Sept. 11, 2002 Event"
Angry heart,weapons/spears,0,photo/weapons60/angryheart.gif,0,Dropped by the Sa-San Angry Spirit
Anniversary sword 1,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword.gif,Extinct,Anniversary Event
Anniversary sword 2,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword2.gif,Extinct,Anniversary Event
Anniversary sword 3,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword.gif,Extinct,Anniversary Event
Anniversary sword 4,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword4.gif,Extinct,Anniversary Event
Anniversary sword 5,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword5.gif,Extinct,Anniversary Event
Anniversary sword 6,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword.gif,Extinct,Anniversary Event
Anniversary sword 7,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword7.gif,Extinct,Anniversary Event
Anniversary sword 8,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword8.gif,Extinct,Anniversary Event
Anniversary sword 9,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword9.gif,Extinct,Anniversary Event
Antique bone charm,armor/vortexhand|armor/vortexitems,0,photo/armor60/bonecharm.gif,Hunter Cave,Ravage Special Info: Hunter Cave
Antique claw,armor/vortexhand|armor/vortexitems,0,photo/armor60/claw.gif,Water Cave,Crab duke Special Info: Water Cave
Antique daemon heart,armor/vortexhand|armor/vortexitems,0,photo/armor60/daemonheart.gif,Wind Cave,Zibong's mask Special Info: Wind Cave
Antique hand drum,armor/vortexhand|armor/vortexitems,0,photo/armor60/handdrum.gif,Hillman Cave,Kamalattee Special Info: Hillman Cave
Antique luck amulet,armor/vortexhand|armor/vortexitems,0,photo/armor60/luckamulet.gif,Assassin Cave,Ghaleb Special Info: Assassin Cave
Antique lurid eye,armor/vortexhand|armor/vortexitems,0,photo/armor60/lurideye.gif,Dread Cave,Water wizard Special Info: Dread Cave
Antique magus scroll,armor/vortexhand|armor/vortexitems,0,photo/armor60/magusscroll.gif,Magus Cave,Enchanted sorcerer Special Info: Magus Cave
Antique mystic herb,armor/vortexhand|armor/vortexitems,0,photo/armor60/mysticherb.gif,Earth Cave,Water elemental Special Info: Earth Cave
