# Live NexusAtlas monsters section, scraped once by tools/local/scrape_atlas_monsters.py.
# Reflects MODERN NexusTK (a superset of the 4.95 era): absence => likely RTK-added;
# presence does NOT prove era-correctness. images are ../photo/monster60/ filenames.
name,page,exp,type,images
AckDang,events,10,event,ackdang.gif;ackdang1.gif
Admiral blaze,blazegrounds,0,humanoid,admiralblaze.gif;admiralblaze1.gif
Adolescent dragon,dragon,7200000,dragon,drake.gif;drake1.gif
Agile monkey,monkey,350000,animal,agilemonkey.gif;agilemonkey1.gif
Aklak,aklakgrounds,0,animal,aklak.gif;aklak1.gif
Angry ox,ox,2000000,animal,angryox.gif;angryox1.gif
Atrocious bahadur,events,0,event,atrociousbahadur.gif;atrociousbahadur1.gif
Baby Turtle,gogoonisland,220000,Animal,babyturtle.gif;babyturtle1.gif
Bal bloodlust,greyhand,0,humanoid,balbloodlust.gif;balbloodlust1.gif
Beach monkey,woodlands,40000,animal,beachmonkey.gif;beachmonkey1.gif
Beady-eyed stalker,rat,5700000,animal,killerrat.gif;killerrat1.gif
Bear,vale,1000,animal,bear.gif;bear1.gif
Beastly noyan,events,0,event,beastlynoyan.gif;beastlynoyan1.gif
Bestial yurtchis,events,50,event,bestialyurtchis.gif;bestialyurtchis1.gif
Bitty Turtle,gogoonisland,550000,Animal,bittyturtle.gif;bittyturtle1.gif
Black buck,wilderness,500,animal,darkbuck.gif;darkbuck1.gif
Black chick,rooster,30000,animal,blackchick.gif;blackchick1.gif
Black chicken,rooster,2000000,animal,blackchicken.gif;blackchicken1.gif
Black rabbit,woodlands,5,animal,blackrabbit.gif;blackrabbit1.gif
Black sheep,sheep,5900000,animal,blacksheep.gif;blacksheep1.gif
Black sheep,woodlands,5900000,animal,blacksheep.gif;blacksheep1.gif
Black tiger,tiger,7200000,animal,blacktiger.gif;blacktiger1.gif
Blood rat,rat,145000,animal,bloodrat.gif;bloodrat1.gif
Blood snake,snake,580000,animal,bloodsnake.gif;bloodsnake1.gif
Blood wolf,wilderness,2000,animal,bloodwolf.gif;bloodwolf1.gif
Bloody yurtchis,events,0,event,bloodyyurtchis.gif;bloodyyurtchis1.gif
Bloom,earth,0,humanoid,bloom.gif;bloom1.gif
Blue rooster,buya,0,animal,bluerooster.gif;bluerooster1.gif
Blue rooster,kugnae,0,animal,bluerooster.gif;bluerooster1.gif
Boa,islets,4444,animal,boa.gif;boa1.gif
Boa,wilderness,4444,animal,boa.gif;boa1.gif
Boar champion,pig,1300000,boss,boarchampion.gif;boarchampion1.gif
Boar defender,pig,9450000,sentry,boardefender.gif;boardefender1.gif
Boar guardian,pig,4500000,sentry,boarguardian.gif;boarguardian1.gif
Boar sentry,pig,580000,sentry,boarsentry.gif;boarsentry1.gif
Bold boar,pig,7500000,animal,boldboar.gif;boldboar1.gif
Bold hog,pig,7300000,animal,boldhog.gif;boldhog1.gif
Bold pig,pig,7100000,animal,boldpig.gif;boldpig1.gif
Bold piglet,pig,6900000,animal,boldpiglet.gif;boldpiglet1.gif
Boulder,gogoonisland,2000000,Mineral,boulder.gif
Brazen,tiger,8650000,animal,brazen.gif;brazen1.gif
Bright monkey,monkey,430000,animal,brightmonkey.gif;brightmonkey1.gif
Brown hare,woodlands,5,animal,brownhare.gif;brownhare1.gif
Brown rabbit,woodlands,5,animal,brownrabbit.gif;brownrabbit1.gif
Brutal yurtchis,events,50,event,brutalyurtchis.gif;brutalyurtchis1.gif
Brute,bandit,0,humanoid,brute.gif;brute1.gif
Brutish kashik,events,0,event,brutishkashik.gif;brutishkashik1.gif
Bubble,water,0,water,bubble.gif;bubble1.gif
Burly bahadur,events,0,event,burlybahadur.gif;burlybahadur1.gif
Cackling nurumnamu,events,0,event,cacklingnurumnamu.gif;cacklingnurumnamu1.gif
Cackling ponnamu,events,0,event,cacklingponnamu.gif;cacklingponnamu1.gif
Caltroom,wind,3516856,insect,caltroom.gif;caltroom1.gif
Cat,buya,90,animal,cat.gif;cat1.gif
Cat,kugnae,90,animal,cat.gif;cat1.gif
Cat,tangun,90,animal,cat.gif;cat1.gif
Charging ox,ox,440000,animal,chargingox.gif;chargingox1.gif
Claw,earth,0,humanoid,claw.gif;claw1.gif
Concealed assassin,hunter,778542,humanoid,concealedassassin.gif;concealedassassin1.gif
Crab duke,water,0,water,crabduke.gif;crabduke1.gif
Crazed mongrel,dog,320000,animal,crazedmongrel.gif;crazedmongrel1.gif
Crazy claw,tiger,9900000,animal,crazyclaw.gif;crazyclaw1.gif
Crow,nagnang,40,animal,crow.gif;crow1.gif
Crowned serpent,water,0,water,crownedserpent.gif;crownedserpent1.gif
Crude yurtchis,events,0,event,crudeyurtchis.gif;crudeyurtchis1.gif
Cutthroat,assassin,1053913,humanoid,cutthroat.gif;cutthroat1.gif
Dark buck,woodlands,300,animal,darkbuck.gif;darkbuck1.gif
Dark mantis,forestcrossroads,1600000,insect,darkmantis.gif;darkmantis1.gif
Dark sheep,sheep,9000000,animal,darksheep.gif;darksheep1.gif
Dark snake,snake,4500000,animal,darksnake.gif;darksnake1.gif
Dark squirrel,woodlands,800,animal,darksquirrel.gif;darksquirrel1.gif
Dark tiger,tiger,900000,animal,darktiger.gif;darktiger1.gif
Deadly bowman,assassin,0,humanoid,deadlybowman.gif;deadlybowman1.gif
Deadly imbecile,dread,0,humanoid,deadlyimbecile.gif;deadlyimbecile1.gif
Death mongrel,dog,480000,animal,deathmongrel.gif;deathmongrel1.gif
Death wizard,magus,1123965,humanoid,deathwizard.gif;deathwizard1.gif
Deep woods mantis,forestcrossroads,200000,insect,deepwoodsmantis.gif;deepwoodsmantis1.gif
Deer,buya,50,animal,deer.gif;deer1.gif
Deer,islets,50,animal,deer.gif;deer1.gif
Deer,kugnae,50,animal,deer.gif;deer1.gif
Deer,nagnang,50,animal,deer.gif;deer1.gif
Deer,northernpass,50,animal,deer.gif;deer1.gif
Deer,tangun,50,animal,deer.gif;deer1.gif
Deer,wilderness,50,animal,deer.gif;deer1.gif
Deer,woodlands,50,animal,deer.gif;deer1.gif
Desert wasp,woodlands,650,insect,desertwasp.gif;desertwasp1.gif
Destructive noyan,events,0,event,destructivenoyan.gif;destructivenoyan1.gif
Diamond horse,horse,880000,animal,diamondhorse.gif;diamondhorse1.gif
Diamond monkey,monkey,900000,animal,diamondmonkey.gif;diamondmonkey1.gif
Dimsan,magus,0,humanoid,dimsan.gif;dimsan1.gif
Dirt mantis,forestcrossroads,440000,insect,dirtmantis.gif;dirtmantis1.gif
Divine dog,dog,1000000,boss,divinedog.gif;divinedog1.gif
Divine dragon,dragon,26000000,boss,dragonsentry.gif;dragonsentry1.gif
Divine horse,horse,2800000,boss,divinehorse.gif;divinehorse1.gif
Divine monkey,monkey,620000,boss,divinemonkey.gif;divinemonkey1.gif
Divine mouse,rat,500000,animal,divinemouse.gif;divinemouse1.gif
Divine ox,ox,5000000,boss,divineox.gif;divineox1.gif
Divine pig,pig,10000000,boss,divinepig.gif;divinepig1.gif
Divine rabbit,rabbit,500000,boss,divinerabbit.gif;divinerabbit1.gif
Divine rat,rat,2100000,boss,divinerat.gif;divinerat1.gif
Divine rooster,rooster,1600000,boss,divinerooster.gif;divinerooster1.gif
Divine sheep,sheep,16000000,boss,divinesheep.gif;divinesheep1.gif
Divine snake,snake,12000000,boss,divinesnake.gif;divinesnake1.gif
Divine tiger,tiger,20000000,boss,divinetiger.gif;divinetiger1.gif
Doe,buya,50,animal,doe.gif;doe1.gif
Doe,islets,50,animal,doe.gif;doe1.gif
Doe,kugnae,50,animal,doe.gif;doe1.gif
Doe,northernpass,50,animal,doe.gif;doe1.gif
Doe,tangun,50,animal,doe.gif;doe1.gif
Doe,vale,50,animal,doe.gif;doe1.gif
Doe,wilderness,50,animal,doe.gif;doe1.gif
Dog assassin,dog,160000,boss,dogassassin.gif;dogassassin1.gif
Dog avenger,dog,9000000,boss,spiritdog.gif;spiritdog1.gif
Dog cutthroat,dog,1100000,boss,dogcutthroat.gif;dogcutthroat1.gif
