# NexusAtlas monsters as archived by the Wayback Machine ~2005-10 (pre-6.5) — the era-closest
# documentation. Copied from the game repo's re/monster-matcher/atlas.json (scraped once from
# web.archive.org snapshots; snap = the snapshot timestamp each name came from). The archive has
# gaps (e.g. Blue rooster, Mythic boar are era mobs it missed), so the generator treats presence
# on EITHER this list or atlas_monsters.csv (the live 2026 site) as 'documented on NexusAtlas'.
name,exp,type,page,snap
Adolescent dragon,7200000,Dragon,dragon,20051025195040
Agile monkey,350000,Animal,monkey,20051026063937
Albino buck,1200,,buya,20051026062046
Angry ox,2000000,,ox,20051025193016
Arctic deer,1100,Animal,arctic,20051101215721
Avalance king,27050327,,arctic,20051101215721
Avalance ogre,3000000,,arctic,20051101215721
Bat,150,,buya,20051026062046
Beady-eyed stalker,5700000,,rat,20051026061132
Bear,1000,Animal,islets,20051101215917
Big bat,500,,buya,20051026062046
Big rat,500,,buya,20051026062046
Black buck,500,,wilderness,20051026071600
Black chick,30000,,rooster,20051026061002
Black chicken,2000000,,rooster,20051026061002
Black sheep,5900000,,sheep,20051025191332
Black skeleton,170000,Undead,vale,20051026061645
Black tiger,7200000,Animal,tiger,20051026062745
Blight thug,1000,Human,nagnang,20051026064205
Blissful bird,250,Animal,buya,20051026062046
Blizzard,5000000,,arctic,20051101215721
Blizzard king,10000000,,arctic,20051101215721
Blizzard ogre,1000000,,arctic,20051101215721
Blood fox,1500,Animal,buya,20051026062046
Blood mantis,2000,,kugnae,20051026060930
Blood rat,145000,,rat,20051026061132
Blood snake,580000,,snake,20051026062021
Blood tick,2000,,buya,20051026062046
Blood wolf,2000,Animal,wilderness,20051026071600
Boa,4444,Animal,islets,20051101215917
Boar champion,1300000,,pig,20051026062520
Boar defender,9450000,,pig,20051026062520
Boar guardian,4500000,,pig,20051026062520
Boar sentry,580000,,pig,20051026062520
Bold boar,7500000,,pig,20051026062520
Bold hog,7300000,,pig,20051026062520
Bold pig,7100000,,pig,20051026062520
Bold piglet,6900000,,pig,20051026062520
Brazen,8650000,Animal,tiger,20051026062745
Bright monkey,430000,Animal,monkey,20051026063937
Carrion raven,3500,Animal,kugnae,20051026060930
Cat,90,Animal,buya,20051026062046
